"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"SS117"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 3"," 0"," 1"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0","39"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS118"," 0"," 0"," 0","24"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 2","82"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0","27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"SS119"," 0"," 0"," 0"," 1"," 0"," 0"," 0","21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 8"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","36"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 1"," 0"," 0"," 0"
"SS120","  0","  0","  0","  1"," 79","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 15","  0","  0","  1","426","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0"
"SS121"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0","21"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","70"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"SS122"," 0"," 0"," 0"," 2"," 2"," 3"," 0"," 2"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 6"," 0","24"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","92"," 0"," 0"," 0"," 0","14"," 0"
"SS123"," 0"," 0"," 0"," 6"," 1"," 0"," 0"," 1"," 0","15"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 5"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS124"," 0"," 0"," 0"," 7"," 7"," 2"," 0"," 2"," 0","26"," 0"," 0"," 0"," 0"," 1"," 8"," 0"," 0"," 0","37"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","13"," 0"," 9"," 0"," 0"," 0"," 0"," 0","33"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
"SS125","  0","  0","  0","  1","  8","  0","  0","  0","  0","  6","  0","  0","  0","  0","  1","  1","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","500","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"
"SS126","  0","  0","  0","  0"," 14","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 16","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","192","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0"
"SS127","  0","  0","  0","  2","302","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0"," 24","  0","  0","  0","219","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  5","  0","  8","  0","  0","  0","  4","  0","  0","  0","  0","  4","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  0","  0"
"SS128"," 0"," 0"," 0"," 2","73"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 2"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 2"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"
"SS129","  0","  0","  0","  6","101","  0","  5"," 14","  0"," 17","  0","  0","  0","  1","  0"," 14","  0","  1","  0"," 17","  0","  0","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  9","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"
"SS130","  0","  0","  0","  0","128","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 13","  0","  8","  0","139","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"SS131","  0","  0","  0","  0"," 66","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 33","  0"," 57","  0","278","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  7","  0","  0","  1","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  2","  1","  2","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0"
"SS132","  0","  0","  0","  3","  2","  1"," 10","  7","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  2","  0","  0","  0","  0"," 17","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","104","  0","  0","  5","  0","  0","  0"
